Date,AH_max_1dayago_vs_PM_max_class,PM_max_to_PM_min_ratio_class,to_buy_1d,predicted_to_buy
2024-12-30 09:30:00,6,5,0,0
2024-12-30 10:00:00,6,5,0,0
2024-12-30 10:30:00,6,5,0,0
2024-12-30 11:00:00,6,5,0,0
2024-12-30 11:30:00,6,5,0,0
2024-12-30 12:00:00,6,5,0,0
2024-12-30 12:30:00,6,5,0,0
2024-12-30 13:00:00,6,5,0,0
2024-12-30 13:30:00,6,5,0,0
2024-12-30 14:00:00,6,5,0,0
2024-12-30 14:30:00,6,5,0,0
2024-12-30 15:00:00,6,5,0,0
2024-12-30 15:30:00,6,5,0,0
2024-12-31 09:30:00,3,2,0,0
2024-12-31 10:00:00,3,2,0,0
2024-12-31 10:30:00,3,2,0,0
2024-12-31 11:00:00,3,2,0,0
2024-12-31 11:30:00,3,2,0,0
2024-12-31 12:00:00,3,2,0,0
2024-12-31 12:30:00,3,2,0,0
2024-12-31 13:00:00,3,2,0,0
2024-12-31 13:30:00,3,2,0,0
2024-12-31 14:00:00,3,2,0,0
2024-12-31 14:30:00,3,2,0,0
2024-12-31 15:00:00,3,2,0,0
2024-12-31 15:30:00,3,2,0,0
2025-01-02 09:30:00,3,4,0,0
2025-01-02 10:00:00,3,4,0,0
2025-01-02 10:30:00,3,4,0,0
2025-01-02 11:00:00,3,4,0,0
2025-01-02 11:30:00,3,4,0,0
2025-01-02 12:00:00,3,4,0,0
2025-01-02 12:30:00,3,4,0,0
2025-01-02 13:00:00,3,4,0,0
2025-01-02 13:30:00,3,4,0,0
2025-01-02 14:00:00,3,4,0,0
2025-01-02 14:30:00,3,4,0,0
2025-01-02 15:00:00,3,4,0,0
2025-01-02 15:30:00,3,4,0,0
2025-01-03 09:30:00,4,3,1,1
2025-01-03 10:00:00,4,3,1,1
2025-01-03 10:30:00,4,3,1,1
2025-01-03 11:00:00,4,3,1,1
2025-01-03 11:30:00,4,3,1,1
2025-01-03 12:00:00,4,3,1,1
2025-01-03 12:30:00,4,3,1,1
2025-01-03 13:00:00,4,3,1,1
2025-01-03 13:30:00,4,3,1,1
2025-01-03 14:00:00,4,3,1,1
2025-01-03 14:30:00,4,3,1,1
2025-01-03 15:00:00,4,3,1,1
2025-01-03 15:30:00,4,3,1,1
2025-01-06 09:30:00,3,3,0,0
2025-01-06 10:00:00,3,3,0,0
2025-01-06 10:30:00,3,3,0,0
2025-01-06 11:00:00,3,3,0,0
2025-01-06 11:30:00,3,3,0,0
2025-01-06 12:00:00,3,3,0,0
2025-01-06 12:30:00,3,3,0,0
2025-01-06 13:00:00,3,3,0,0
2025-01-06 13:30:00,3,3,0,0
2025-01-06 14:00:00,3,3,0,0
2025-01-06 14:30:00,3,3,0,0
2025-01-06 15:00:00,3,3,0,0
2025-01-06 15:30:00,3,3,0,0
2025-01-07 09:30:00,5,4,0,0
2025-01-07 10:00:00,5,4,0,0
2025-01-07 10:30:00,5,4,0,0
2025-01-07 11:00:00,5,4,0,0
2025-01-07 11:30:00,5,4,0,0
2025-01-07 12:00:00,5,4,0,0
2025-01-07 12:30:00,5,4,0,0
2025-01-07 13:00:00,5,4,0,0
2025-01-07 13:30:00,5,4,0,0
2025-01-07 14:00:00,5,4,0,0
2025-01-07 14:30:00,5,4,0,0
2025-01-07 15:00:00,5,4,0,0
2025-01-07 15:30:00,5,4,0,0
2025-01-08 09:30:00,5,3,0,0
2025-01-08 10:00:00,5,3,0,0
2025-01-08 10:30:00,5,3,0,0
2025-01-08 11:00:00,5,3,0,0
2025-01-08 11:30:00,5,3,0,0
2025-01-08 12:00:00,5,3,0,0
2025-01-08 12:30:00,5,3,0,0
2025-01-08 13:00:00,5,3,0,0
2025-01-08 13:30:00,5,3,0,0
2025-01-08 14:00:00,5,3,0,0
2025-01-08 14:30:00,5,3,0,0
2025-01-08 15:00:00,5,3,0,0
2025-01-08 15:30:00,5,3,0,0
2025-01-10 09:30:00,3,5,0,0
2025-01-10 10:00:00,3,5,0,0
2025-01-10 10:30:00,3,5,0,0
2025-01-10 11:00:00,3,5,1,0
2025-01-10 11:30:00,3,5,0,0
2025-01-10 12:00:00,3,5,0,0
2025-01-10 12:30:00,3,5,0,0
2025-01-10 13:00:00,3,5,0,0
2025-01-10 13:30:00,3,5,0,0
2025-01-10 14:00:00,3,5,0,0
2025-01-10 14:30:00,3,5,0,0
2025-01-10 15:00:00,3,5,0,0
2025-01-10 15:30:00,3,5,0,0
2025-01-13 09:30:00,6,4,1,0
2025-01-13 10:00:00,6,4,1,0
2025-01-13 10:30:00,6,4,1,0
2025-01-13 11:00:00,6,4,1,0
2025-01-13 11:30:00,6,4,1,0
2025-01-13 12:00:00,6,4,1,0
2025-01-13 12:30:00,6,4,1,0
2025-01-13 13:00:00,6,4,0,0
2025-01-13 13:30:00,6,4,0,0
2025-01-13 14:00:00,6,4,0,0
2025-01-13 14:30:00,6,4,0,0
2025-01-13 15:00:00,6,4,0,0
2025-01-13 15:30:00,6,4,0,0
2025-01-14 09:30:00,3,3,1,0
2025-01-14 10:00:00,3,3,0,0
2025-01-14 10:30:00,3,3,1,0
2025-01-14 11:00:00,3,3,1,0
2025-01-14 11:30:00,3,3,1,0
2025-01-14 12:00:00,3,3,1,0
2025-01-14 12:30:00,3,3,1,0
2025-01-14 13:00:00,3,3,1,0
2025-01-14 13:30:00,3,3,1,0
2025-01-14 14:00:00,3,3,1,0
2025-01-14 14:30:00,3,3,1,0
2025-01-14 15:00:00,3,3,1,0
2025-01-14 15:30:00,3,3,1,0
2025-01-15 09:30:00,2,4,0,0
2025-01-15 10:00:00,2,4,0,0
2025-01-15 10:30:00,2,4,0,0
2025-01-15 11:00:00,2,4,0,0
2025-01-15 11:30:00,2,4,0,0
2025-01-15 12:00:00,2,4,0,0
2025-01-15 12:30:00,2,4,0,0
2025-01-15 13:00:00,2,4,0,0
2025-01-15 13:30:00,2,4,0,0
2025-01-15 14:00:00,2,4,0,0
2025-01-15 14:30:00,2,4,0,0
2025-01-15 15:00:00,2,4,0,0
2025-01-15 15:30:00,2,4,0,0
2025-01-16 09:30:00,2,5,0,0
2025-01-16 10:00:00,2,5,0,0
2025-01-16 10:30:00,2,5,0,0
2025-01-16 11:00:00,2,5,0,0
2025-01-16 11:30:00,2,5,0,0
2025-01-16 12:00:00,2,5,0,0
2025-01-16 12:30:00,2,5,0,0
2025-01-16 13:00:00,2,5,1,0
2025-01-16 13:30:00,2,5,1,0
2025-01-16 14:00:00,2,5,1,0
2025-01-16 14:30:00,2,5,0,0
2025-01-16 15:00:00,2,5,1,0
2025-01-16 15:30:00,2,5,1,0
2025-01-17 09:30:00,1,4,0,0
2025-01-17 10:00:00,1,4,0,0
2025-01-17 10:30:00,1,4,0,0
2025-01-17 11:00:00,1,4,0,0
2025-01-17 11:30:00,1,4,0,0
2025-01-17 12:00:00,1,4,0,0
2025-01-17 12:30:00,1,4,0,0
2025-01-17 13:00:00,1,4,0,0
2025-01-17 13:30:00,1,4,0,0
2025-01-17 14:00:00,1,4,0,0
2025-01-17 14:30:00,1,4,0,0
2025-01-17 15:00:00,1,4,0,0
2025-01-17 15:30:00,1,4,0,0
2025-01-21 09:30:00,6,5,0,0
2025-01-21 10:00:00,6,5,0,0
2025-01-21 10:30:00,6,5,1,0
2025-01-21 11:00:00,6,5,1,0
2025-01-21 11:30:00,6,5,1,0
2025-01-21 12:00:00,6,5,1,0
2025-01-21 12:30:00,6,5,1,0
2025-01-21 13:00:00,6,5,1,0
2025-01-21 13:30:00,6,5,1,0
2025-01-21 14:00:00,6,5,0,0
2025-01-21 14:30:00,6,5,1,0
2025-01-21 15:00:00,6,5,0,0
2025-01-21 15:30:00,6,5,0,0
2025-01-22 09:30:00,4,5,1,0
2025-01-22 10:00:00,4,5,1,0
2025-01-22 10:30:00,4,5,1,0
2025-01-22 11:00:00,4,5,1,0
2025-01-22 11:30:00,4,5,1,0
2025-01-22 12:00:00,4,5,1,0
2025-01-22 12:30:00,4,5,1,0
2025-01-22 13:00:00,4,5,1,0
2025-01-22 13:30:00,4,5,1,0
2025-01-22 14:00:00,4,5,1,0
2025-01-22 14:30:00,4,5,1,0
2025-01-22 15:00:00,4,5,1,0
2025-01-22 15:30:00,4,5,1,0
2025-01-23 09:30:00,3,4,0,0
2025-01-23 10:00:00,3,4,0,0
2025-01-23 10:30:00,3,4,0,0
2025-01-23 11:00:00,3,4,0,0
2025-01-23 11:30:00,3,4,0,0
2025-01-23 12:00:00,3,4,0,0
2025-01-23 12:30:00,3,4,0,0
2025-01-23 13:00:00,3,4,0,0
2025-01-23 13:30:00,3,4,0,0
2025-01-23 14:00:00,3,4,1,0
2025-01-23 14:30:00,3,4,1,0
2025-01-23 15:00:00,3,4,1,0
2025-01-23 15:30:00,3,4,0,0
2025-01-24 09:30:00,2,4,0,0
2025-01-24 10:00:00,2,4,1,0
2025-01-24 10:30:00,2,4,1,0
2025-01-24 11:00:00,2,4,1,0
2025-01-24 11:30:00,2,4,1,0
2025-01-24 12:00:00,2,4,1,0
2025-01-24 12:30:00,2,4,1,0
2025-01-24 13:00:00,2,4,1,0
2025-01-24 13:30:00,2,4,1,0
2025-01-24 14:00:00,2,4,1,0
2025-01-24 14:30:00,2,4,1,0
2025-01-24 15:00:00,2,4,1,0
2025-01-24 15:30:00,2,4,1,0
2025-01-27 09:30:00,3,6,1,1
2025-01-27 10:00:00,3,6,1,1
2025-01-27 10:30:00,3,6,1,1
2025-01-27 11:00:00,3,6,1,1
2025-01-27 11:30:00,3,6,1,1
2025-01-27 12:00:00,3,6,1,1
2025-01-27 12:30:00,3,6,1,1
2025-01-27 13:00:00,3,6,0,1
2025-01-27 13:30:00,3,6,0,1
2025-01-27 14:00:00,3,6,0,1
2025-01-27 14:30:00,3,6,0,1
2025-01-27 15:00:00,3,6,1,1
2025-01-27 15:30:00,3,6,1,1
2025-01-28 09:30:00,3,4,1,0
2025-01-28 10:00:00,3,4,0,0
2025-01-28 10:30:00,3,4,0,0
2025-01-28 11:00:00,3,4,0,0
2025-01-28 11:30:00,3,4,0,0
2025-01-28 12:00:00,3,4,0,0
2025-01-28 12:30:00,3,4,0,0
2025-01-28 13:00:00,3,4,0,0
2025-01-28 13:30:00,3,4,0,0
2025-01-28 14:00:00,3,4,0,0
2025-01-28 14:30:00,3,4,0,0
2025-01-28 15:00:00,3,4,0,0
2025-01-28 15:30:00,3,4,0,0
2025-01-29 09:30:00,4,6,1,1
2025-01-29 10:00:00,4,6,1,1
2025-01-29 10:30:00,4,6,1,1
2025-01-29 11:00:00,4,6,1,1
2025-01-29 11:30:00,4,6,1,1
2025-01-29 12:00:00,4,6,1,1
2025-01-29 12:30:00,4,6,1,1
2025-01-29 13:00:00,4,6,1,1
2025-01-29 13:30:00,4,6,1,1
2025-01-29 14:00:00,4,6,1,1
2025-01-29 14:30:00,4,6,0,1
2025-01-29 15:00:00,4,6,0,1
2025-01-29 15:30:00,4,6,0,1
2025-01-30 09:30:00,5,4,1,0
2025-01-30 10:00:00,5,4,1,0
2025-01-30 10:30:00,5,4,1,0
2025-01-30 11:00:00,5,4,1,0
2025-01-30 11:30:00,5,4,1,0
2025-01-30 12:00:00,5,4,1,0
2025-01-30 12:30:00,5,4,1,0
2025-01-30 13:00:00,5,4,1,0
2025-01-30 13:30:00,5,4,1,0
2025-01-30 14:00:00,5,4,1,0
2025-01-30 14:30:00,5,4,1,0
2025-01-30 15:00:00,5,4,1,0
2025-01-30 15:30:00,5,4,1,0
2025-01-31 09:30:00,5,5,0,0
2025-01-31 10:00:00,5,5,0,0
2025-01-31 10:30:00,5,5,0,0
2025-01-31 11:00:00,5,5,0,0
2025-01-31 11:30:00,5,5,0,0
2025-01-31 12:00:00,5,5,0,0
2025-01-31 12:30:00,5,5,0,0
2025-01-31 13:00:00,5,5,0,0
2025-01-31 13:30:00,5,5,0,0
2025-01-31 14:00:00,5,5,0,0
2025-01-31 14:30:00,5,5,0,0
2025-01-31 15:00:00,5,5,0,0
2025-01-31 15:30:00,5,5,0,0
2025-02-03 09:30:00,6,6,0,0
2025-02-03 10:00:00,6,6,0,0
2025-02-03 10:30:00,6,6,1,0
2025-02-03 11:00:00,6,6,1,0
2025-02-03 11:30:00,6,6,1,0
2025-02-03 12:00:00,6,6,1,0
2025-02-03 12:30:00,6,6,1,0
2025-02-03 13:00:00,6,6,1,0
2025-02-03 13:30:00,6,6,1,0
2025-02-03 14:00:00,6,6,1,0
2025-02-03 14:30:00,6,6,1,0
2025-02-03 15:00:00,6,6,1,0
2025-02-03 15:30:00,6,6,1,0
2025-02-04 09:30:00,6,3,1,0
2025-02-04 10:00:00,6,3,0,0
2025-02-04 10:30:00,6,3,0,0
2025-02-04 11:00:00,6,3,0,0
2025-02-04 11:30:00,6,3,0,0
2025-02-04 12:00:00,6,3,0,0
2025-02-04 12:30:00,6,3,0,0
2025-02-04 13:00:00,6,3,0,0
2025-02-04 13:30:00,6,3,0,0
2025-02-04 14:00:00,6,3,0,0
2025-02-04 14:30:00,6,3,0,0
2025-02-04 15:00:00,6,3,0,0
2025-02-04 15:30:00,6,3,0,0
2025-02-05 09:30:00,6,6,1,0
2025-02-05 10:00:00,6,6,1,0
2025-02-05 10:30:00,6,6,1,0
2025-02-05 11:00:00,6,6,1,0
2025-02-05 11:30:00,6,6,1,0
2025-02-05 12:00:00,6,6,1,0
2025-02-05 12:30:00,6,6,1,0
2025-02-05 13:00:00,6,6,1,0
2025-02-05 13:30:00,6,6,1,0
2025-02-05 14:00:00,6,6,1,0
2025-02-05 14:30:00,6,6,0,0
2025-02-05 15:00:00,6,6,0,0
2025-02-05 15:30:00,6,6,0,0
2025-02-06 09:30:00,5,3,0,0
2025-02-06 10:00:00,5,3,0,0
2025-02-06 10:30:00,5,3,1,0
2025-02-06 11:00:00,5,3,0,0
2025-02-06 11:30:00,5,3,1,0
2025-02-06 12:00:00,5,3,0,0
2025-02-06 12:30:00,5,3,0,0
2025-02-06 13:00:00,5,3,0,0
2025-02-06 13:30:00,5,3,0,0
2025-02-06 14:00:00,5,3,0,0
2025-02-06 14:30:00,5,3,0,0
2025-02-06 15:00:00,5,3,0,0
2025-02-06 15:30:00,5,3,0,0
2025-02-07 09:30:00,5,2,0,0
2025-02-07 10:00:00,5,2,0,0
2025-02-07 10:30:00,5,2,0,0
2025-02-07 11:00:00,5,2,0,0
2025-02-07 11:30:00,5,2,0,0
2025-02-07 12:00:00,5,2,0,0
2025-02-07 12:30:00,5,2,0,0
2025-02-07 13:00:00,5,2,0,0
2025-02-07 13:30:00,5,2,0,0
2025-02-07 14:00:00,5,2,0,0
2025-02-07 14:30:00,5,2,0,0
2025-02-07 15:00:00,5,2,0,0
2025-02-07 15:30:00,5,2,1,0
2025-02-10 09:30:00,2,3,1,0
2025-02-10 10:00:00,2,3,1,0
2025-02-10 10:30:00,2,3,1,0
2025-02-10 11:00:00,2,3,1,0
2025-02-10 11:30:00,2,3,1,0
2025-02-10 12:00:00,2,3,1,0
2025-02-10 12:30:00,2,3,1,0
2025-02-10 13:00:00,2,3,1,0
2025-02-10 13:30:00,2,3,1,0
2025-02-10 14:00:00,2,3,1,0
2025-02-10 14:30:00,2,3,1,0
2025-02-10 15:00:00,2,3,1,0
2025-02-10 15:30:00,2,3,1,0
2025-02-11 09:30:00,1,5,1,0
2025-02-11 10:00:00,1,5,1,0
2025-02-11 10:30:00,1,5,0,0
2025-02-11 11:00:00,1,5,0,0
2025-02-11 11:30:00,1,5,0,0
2025-02-11 12:00:00,1,5,0,0
2025-02-11 12:30:00,1,5,0,0
2025-02-11 13:00:00,1,5,0,0
2025-02-11 13:30:00,1,5,0,0
2025-02-11 14:00:00,1,5,1,0
2025-02-11 14:30:00,1,5,1,0
2025-02-11 15:00:00,1,5,1,0
2025-02-11 15:30:00,1,5,1,0
